"Eindeutige ID
(falls vorhanden)","Name der Akzeptanzstelle
(z.B. Bäckerei Höfner)","Straße
(z.B. Wertachstraße)","Hausnummer
(z.B. 10A)","5-stellige PLZ
(z.B. 80331)","Ort
(z.B. München)","Breitengrad in Grad als Dezimalzahl 
(z. B. 48.137154 für München)","Längengrad in Grad als Dezimalzahl
(z. B. 11.576124 für München)","Telefon
(z.B. 089/123456)","Email
(z.B. info@baeckerei.de)","Website-URL
(z.B. https://baeckerei.de)","Vergünstigungsbeschreibung
(z.B: Einen großes Heißgetränk kostenlos zu jedem Frühstücks-Gedeck)","Kategorie
(Zahl zwischen 0 und 9, siehe Tabellenblatt Kategorien)"
,Académie de Ballett et Danse,Meuschelstr.,10,90408,Nürnberg,49452030,11076750,0911/9944884,info@academie-ballettschule-uliczay.de,https://www.academie-ballettschule-uliczay.de/kontakt/,20% Ermäßigung für Erwachsene,7
,Admira-Apotheke,Fürther Str. ,187,90429,Nürnberg,,,0911/3224633,info@admira-apotheke.com,"https://www.admira-apotheke-nuernberg.de
","10 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“). Außer Angebotspreise",5
,AfB Shop,Peter-Henlein-Str. ,27,90443,Nürnberg,,,0911/47776960, info@afb-group.eu,https://www.afbshop.de/nuernberg ,"10% Ermäßigung für PC, Notebooks (gebraucht mit Garantie) ",6
,Ahorn Apotheke,Leipziger Platz ,13,90491,Nürnberg,,,0911/9518082,kontakt(at)ihre-ahornapotheke.de,http://www.ihre-ahornapotheke.de/a/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Albrecht-Dürer-Haus,Albrecht-Dürer-Str. ,39,90403,Nürnberg,,,0911/2312568,,https://museen.nuernberg.de/duererhaus/," 1,50 € für alle Altersgruppen",2
,Apotheke im Village ,Sankt-Gallen-Ring ,247,90431,Nürnberg,,, 0911/47891405,kontakt@apotheke-im-village.de,https://www.apotheke-im-village.de/impressum,"10 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“) - außer Angebotspreise",5
,Apotheke Sebalder Höfe,Äußerer Laufer Platz ,20,90403,Nürnberg,,,0911/221999,Info@apotheke-sebalder-hoefe.de,https://www.apotheke-sebalder-hoefe.de/apotheke-sebalder-hoefe/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“), außer Angebotspreise",5
,Aura Nürnberg e.V.,Gleißbühlstr. ,10,90402,Nürnberg,,,0911/284629,info@aura-nuernberg.de,https://www.aura-nuernberg.de/,Ermäßigung laut Programm,7
,Ballettförderzentrum Nürnberg e. V. ,Gleißbühlstraße ,12,90402,Nürnberg,,,0911/992399,info@tanzhaus-nuernberg.de,http://www.ballettfoerderzentrum.com/,50% Ermäßigung,7
,Bayerisches Rotes Kreuz Seniorentreff,Nunnenbeckstr. ,47,90489,Nürnberg,,,0911/5301295,,https://www.kvnuernberg-stadt.brk.de/angebote/senioren/seniorentreff-woehrd.html,"Mittagstisch für Seniorinnen und Senioren                                Mittagessen: Mo-Fr 12:00-13:00 Uhr -  Kosten: 3,50 € pro Essen",0
,Bildungszentrum,Gewerbemuseumsplatz ,1,90403,Nürnberg,,,0911/2313147,bz-info(at)stadt.nuernberg.de,https://bz.nuernberg.de/,"50 % Ermäßigung (ausgenommen Filmveranstaltungen, Lehrgänge, Reisen, Tagesfahrten, u.ä.)",3
,Bindergass-Apotheke,Theresienplatz ,2 - 4,90403,Nürnberg,,,0911/203043,info@bindergass-apotheke.de,https://www.bindergass-apotheke.de/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“)",5
